"","Fecha","confirmados.Nacional","confirmados.Sonora","confirmados.Hermosillo","CelidaLopezc","ClaudiaPavlovic","lopezobrador_"
"1",2020-08-28,6298,217,112,0.666666666666667,0.882352941176471,-0.5
"2",2020-08-29,3100,127,56,4.33333333333333,-0.2,0.5
"3",2020-08-30,2164,53,32,NA,-0.25,2.33333333333333
"4",2020-08-31,6901,243,125,NA,-0.714285714285714,1
"5",2020-09-01,7028,238,97,NA,0,0.333333333333333
"6",2020-09-02,6841,145,52,NA,-0.571428571428571,2.5
"7",2020-09-03,6215,131,48,NA,-0.1,0
"8",2020-09-04,5977,185,67,NA,-0.75,1
"9",2020-09-05,2805,89,67,NA,-0.833333333333333,0
"10",2020-09-06,2026,57,24,NA,-1.625,0
"11",2020-09-07,6287,172,89,NA,-0.444444444444444,0
"12",2020-09-08,6517,206,101,NA,1.66666666666667,-2.5
"13",2020-09-09,5969,206,89,NA,NA,2
"14",2020-09-10,5625,140,74,NA,0.571428571428571,5
"15",2020-09-11,5414,127,72,NA,-1.66666666666667,-5
"16",2020-09-12,2728,74,47,NA,0.875,0
"17",2020-09-13,1834,64,47,NA,-1.2,2
"18",2020-09-14,6161,216,104,NA,-1.77777777777778,0
"19",2020-09-15,4253,131,65,NA,0.444444444444444,0
"20",2020-09-16,2135,91,69,1.2,-0.4,-1
"21",2020-09-17,6293,176,87,0,-0.875,0
"22",2020-09-18,5643,145,77,0.5,1.14285714285714,1
"23",2020-09-19,2741,93,56,2.33333333333333,-2,-4
"24",2020-09-20,1753,31,20,2,1.16666666666667,1
"25",2020-09-21,6222,165,54,2.66666666666667,-3.33333333333333,2.66666666666667
"26",2020-09-22,6079,198,100,NA,-0.5,-2
"27",2020-09-23,5669,178,82,NA,-1.4,-1
"28",2020-09-24,5301,155,79,NA,-0.333333333333333,3
"29",2020-09-25,5253,152,68,NA,0.125,1
"30",2020-09-26,2607,71,51,NA,0.6,0
"31",2020-09-27,1751,42,24,NA,0,3
"32",2020-09-28,6150,202,97,NA,0.375,0
"33",2020-09-29,5959,206,92,NA,0.25,-0.714285714285714
"34",2020-09-30,5484,175,91,NA,-0.444444444444444,0
"35",2020-10-01,5208,179,98,NA,-0.625,-0.5
"36",2020-10-02,4953,171,94,NA,0,-16
"37",2020-10-03,2376,57,35,NA,0.285714285714286,0
"38",2020-10-04,1691,52,32,NA,-0.6,-2.4
"39",2020-10-05,5744,221,120,NA,NA,2
"40",2020-10-06,5880,182,89,NA,0.333333333333333,-4
"41",2020-10-07,5644,140,73,NA,0.428571428571429,2
"42",2020-10-08,5444,130,55,NA,-0.222222222222222,6
"43",2020-10-09,5654,107,46,0,-0.666666666666667,0
"44",2020-10-10,2953,71,47,1.4,-1,0
"45",2020-10-11,2117,54,31,2,-0.333333333333333,1
"46",2020-10-12,6636,142,57,0,-0.666666666666667,-1.33333333333333
"47",2020-10-13,6963,189,66,-4,0.333333333333333,-7
"48",2020-10-14,6363,173,73,1,-0.8,0
"49",2020-10-15,6337,169,89,1.42857142857143,0.125,6
"50",2020-10-16,6458,134,76,1.5,-1.33333333333333,0
"51",2020-10-17,3182,68,51,2,-2,0
"52",2020-10-18,2190,73,54,-1,-1.5,0
"53",2020-10-19,7993,208,127,NA,-0.5,0
"54",2020-10-20,8184,155,47,NA,-0.9,-6
"55",2020-10-21,7184,159,78,NA,-1.2,2
"56",2020-10-22,7052,182,90,NA,0,0
"57",2020-10-23,7049,157,97,NA,-0.666666666666667,0
"58",2020-10-24,3337,48,31,NA,1.22222222222222,3.5
"59",2020-10-25,2334,50,36,NA,-1.25,1
"60",2020-10-26,8052,227,113,NA,0.545454545454545,1
"61",2020-10-27,7784,143,52,NA,0.777777777777778,-6
"62",2020-10-28,6914,128,55,0,1.11111111111111,1.5
"63",2020-10-29,6611,117,40,0.4,2,0
"64",2020-10-30,6091,148,65,1,-0.333333333333333,0.5
"65",2020-10-31,2815,40,16,2.66666666666667,0.25,0
"66",2020-11-01,1977,40,20,2,-2,NA
"67",2020-11-02,4867,125,49,2.5,-0.6,NA
"68",2020-11-03,7786,218,95,-0.666666666666667,1.2,-2.5
"69",2020-11-04,7186,173,62,1,-3.25,5
"70",2020-11-05,7052,218,107,-1,-0.333333333333333,-2
"71",2020-11-06,6689,142,41,0,-0.75,0
"72",2020-11-07,3292,62,36,1,-2.5,-1
"73",2020-11-08,2376,82,60,0,-0.2,-1
"74",2020-11-09,8039,211,67,0,0.833333333333333,0
"75",2020-11-10,7975,218,69,2,-0.4,-1
"76",2020-11-11,7976,246,73,0,-1.5,0
"77",2020-11-12,7716,214,93,0,0.125,1
"78",2020-11-13,7308,182,80,NA,1.66666666666667,0
"79",2020-11-14,3675,76,40,NA,-0.8,1
"80",2020-11-15,2489,60,27,NA,-2.75,0
"81",2020-11-16,3011,117,39,NA,1.5,0
"82",2020-11-17,9174,281,114,NA,-0.5,3
"83",2020-11-18,8367,237,111,NA,-1.25,0
"84",2020-11-19,7950,252,145,NA,-0.6,-0.5
"85",2020-11-20,7983,256,149,0,-1.2,1
"86",2020-11-21,3954,104,50,-6,-1,0
"87",2020-11-22,2578,85,42,4,-3.5,-1.5
"88",2020-11-23,9789,383,145,1.5,-3.75,-2.25
"89",2020-11-24,9819,346,169,-1,-0.857142857142857,6
"90",2020-11-25,9119,341,160,-1.4,-0.6,-1
"91",2020-11-26,9234,305,155,-0.5,-0.285714285714286,0
"92",2020-11-27,9022,271,134,0,-1,-1
"93",2020-11-28,4456,117,70,3.5,-1.5,NA
"94",2020-11-29,2740,101,54,2.66666666666667,-2,0
"95",2020-11-30,10192,327,156,2,-1.6,0
"96",2020-12-01,10543,301,147,1.33333333333333,0,0
"97",2020-12-02,10483,294,148,1,-2.16666666666667,0.5
"98",2020-12-03,10129,256,130,-2,0.428571428571429,1
"99",2020-12-04,9629,234,132,0,1.33333333333333,-3
"100",2020-12-05,4918,108,70,NA,-1.4,0
"101",2020-12-06,2678,117,82,2,0,3
"102",2020-12-07,10955,290,167,-2.5,-3,0
"103",2020-12-08,10201,128,65,0.8,-0.857142857142857,-4.5
"104",2020-12-09,8952,51,14,-0.5,0.2,0
"105",2020-12-10,8342,23,5,0,-1.33333333333333,0
"106",2020-12-11,6335,24,1,2.5,-0.2,0.666666666666667
"107",2020-12-12,2322,6,1,3.5,0.888888888888889,8.5
"108",2020-12-13,363,2,2,2,-1.5,0
"109",2020-12-14,4,0,0,3,-4,-1.33333333333333
